Respondent;Respondent_gender;Question;Context_exists;Answer_positiveness;Chosen_argument
1;f;1;0;0;A
1;f;2;0;1;B
1;f;3;1;1;A
1;f;4;1;1;B
1;f;5;0;0;A
1;f;6;1;0;A
1;f;7;0;1;B
1;f;8;1;1;B
2;f;1;0;1;A
2;f;2;0;0;B
2;f;3;1;1;A
2;f;4;1;1;B
2;f;5;0;1;A
2;f;6;1;0;A
2;f;7;0;1;B
2;f;8;1;1;B
3;m;1;0;1;A
3;m;2;0;0;B
3;m;3;1;1;A
3;m;4;1;1;B
3;m;5;0;1;A
3;m;6;1;0;A
3;m;7;0;1;B
3;m;8;1;1;B
4;f;1;0;1;A
4;f;2;0;0;B
4;f;3;1;0;A
4;f;4;1;1;B
4;f;5;0;0;A
4;f;6;1;1;A
4;f;7;0;1;B
4;f;8;1;0;B
5;m;1;0;1;A
5;m;2;0;0;B
5;m;3;1;0;A
5;m;4;1;0;B
5;m;5;0;1;A
5;m;6;1;1;A
5;m;7;0;0;B
5;m;8;1;0;B
6;m;1;0;0;A
6;m;2;0;1;B
6;m;3;1;0;A
6;m;4;1;1;B
6;m;5;0;0;A
6;m;6;1;1;A
6;m;7;0;1;B
6;m;8;1;0;B
7;f;1;0;1;A
7;f;2;0;1;B
7;f;3;1;0;A
7;f;4;1;1;B
7;f;5;0;1;A
7;f;6;1;1;A
7;f;7;0;1;B
7;f;8;1;0;B
8;m;1;0;0;A
8;m;2;0;1;B
8;m;3;1;1;A
8;m;4;1;1;B
8;m;5;0;0;A
8;m;6;1;1;A
8;m;7;0;1;B
8;m;8;1;1;B
9;f;1;0;0;A
9;f;2;0;1;B
9;f;3;1;1;A
9;f;4;1;1;B
9;f;5;0;0;A
9;f;6;1;0;A
9;f;7;0;1;B
9;f;8;1;1;B
10;f;1;0;1;A
10;f;2;0;1;B
10;f;3;1;0;A
10;f;4;1;1;B
10;f;5;0;1;A
10;f;6;1;0;A
10;f;7;0;0;B
10;f;8;1;1;B
11;m;1;0;0;A
11;m;2;0;1;B
11;m;3;1;1;A
11;m;4;1;1;B
11;m;5;0;1;A
11;m;6;1;1;A
11;m;7;0;1;B
11;m;8;1;1;B
12;m;1;0;1;A
12;m;2;0;0;B
12;m;3;1;0;A
12;m;4;1;0;B
12;m;5;0;1;A
12;m;6;1;1;A
12;m;7;0;0;B
12;m;8;1;0;B
13;f;1;0;1;A
13;f;2;0;0;B
13;f;3;1;0;A
